sequence,source_url,slug,title,title_source,banner_filename,banner_path,seed_order,scheduled_at,source_kind,post_title,seo_title,eyebrow
52,https://kangoopouches.co.uk/blog/6mg-nicotine-pouches-guide-balanced-strength-buying-tips/,6mg-nicotine-pouches-guide-balanced-strength-buying-tips,6mg Nicotine Pouches | Balanced Strength Guide,seed-seo-title,52-6mg-nicotine-pouches-guide-balanced-strength-buying-tips.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\52-6mg-nicotine-pouches-guide-balanced-strength-buying-tips.png,41,2026-06-30 09:00:00,seed-scheduled,6mg Nicotine Pouches Guide: Balanced Strength Buying Tips,6mg Nicotine Pouches | Balanced Strength Guide,Strength Guide
53,https://kangoopouches.co.uk/blog/11mg-nicotine-pouches-guide-stronger-pouch-options/,11mg-nicotine-pouches-guide-stronger-pouch-options,11mg Nicotine Pouches | Stronger Option Guide,seed-seo-title,53-11mg-nicotine-pouches-guide-stronger-pouch-options.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\53-11mg-nicotine-pouches-guide-stronger-pouch-options.png,42,2026-07-01 09:00:00,seed-scheduled,11mg Nicotine Pouches Guide: Stronger Pouch Options,11mg Nicotine Pouches | Stronger Option Guide,Buying Guide
54,https://kangoopouches.co.uk/blog/30mg-nicotine-pouches-guide-extra-strong-options-and-cautions/,30mg-nicotine-pouches-guide-extra-strong-options-and-cautions,30mg Nicotine Pouches | Extra Strong Guide,seed-seo-title,54-30mg-nicotine-pouches-guide-extra-strong-options-and-cautions.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\54-30mg-nicotine-pouches-guide-extra-strong-options-and-cautions.png,43,2026-07-02 09:00:00,seed-scheduled,30mg Nicotine Pouches Guide: Extra Strong Options and Cautions,30mg Nicotine Pouches | Extra Strong Guide,Strength Guide
55,https://kangoopouches.co.uk/blog/cheapest-snus-uk-what-shoppers-actually-mean/,cheapest-snus-uk-what-shoppers-actually-mean,Cheapest Snus UK? Tobacco-Free Pouch Guide,seed-seo-title,55-cheapest-snus-uk-what-shoppers-actually-mean.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\55-cheapest-snus-uk-what-shoppers-actually-mean.png,44,2026-07-03 09:00:00,seed-scheduled,Cheapest Snus UK? What Shoppers Actually Mean,Cheapest Snus UK? Tobacco-Free Pouch Guide,Education
56,https://kangoopouches.co.uk/blog/nicotine-pouches-online-uk-delivery-price-and-buying-checklist/,nicotine-pouches-online-uk-delivery-price-and-buying-checklist,Nicotine Pouches Online UK | Delivery and Buying Guide,seed-seo-title,56-nicotine-pouches-online-uk-delivery-price-and-buying-checklist.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\56-nicotine-pouches-online-uk-delivery-price-and-buying-checklist.png,45,2026-07-04 09:00:00,seed-scheduled,"Nicotine Pouches Online UK: Delivery, Price and Buying Checklist",Nicotine Pouches Online UK | Delivery and Buying Guide,Buying Guide
57,https://kangoopouches.co.uk/blog/nicotine-pouches-near-me-vs-online-which-buying-route-works-best/,nicotine-pouches-near-me-vs-online-which-buying-route-works-best,Nicotine Pouches Near Me vs Online | Buying Guide,seed-seo-title,57-nicotine-pouches-near-me-vs-online-which-buying-route-works-best.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\57-nicotine-pouches-near-me-vs-online-which-buying-route-works-best.png,46,2026-07-05 09:00:00,seed-scheduled,Nicotine Pouches Near Me vs Online: Which Buying Route Works Best?,Nicotine Pouches Near Me vs Online | Buying Guide,Buying Guide
58,https://kangoopouches.co.uk/blog/tobacco-free-snus-uk-what-the-phrase-means/,tobacco-free-snus-uk-what-the-phrase-means,Tobacco-Free Snus UK | Nicotine Pouch Guide,seed-seo-title,58-tobacco-free-snus-uk-what-the-phrase-means.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\58-tobacco-free-snus-uk-what-the-phrase-means.png,47,2026-07-06 09:00:00,seed-scheduled,Tobacco-Free Snus UK: What the Phrase Means,Tobacco-Free Snus UK | Nicotine Pouch Guide,Education
59,https://kangoopouches.co.uk/blog/oral-nicotine-products-pouches-gum-lozenges-and-vapes-compared/,oral-nicotine-products-pouches-gum-lozenges-and-vapes-compared,"Oral Nicotine Products | Pouches, Gum and Lozenges",seed-seo-title,59-oral-nicotine-products-pouches-gum-lozenges-and-vapes-compared.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\59-oral-nicotine-products-pouches-gum-lozenges-and-vapes-compared.png,48,2026-07-07 09:00:00,seed-scheduled,"Oral Nicotine Products: Pouches, Gum, Lozenges and Vapes Compared","Oral Nicotine Products | Pouches, Gum and Lozenges",Education
60,https://kangoopouches.co.uk/blog/smokeless-nicotine-what-it-means-and-how-pouches-compare/,smokeless-nicotine-what-it-means-and-how-pouches-compare,Smokeless Nicotine | How Nicotine Pouches Compare,seed-seo-title,60-smokeless-nicotine-what-it-means-and-how-pouches-compare.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\60-smokeless-nicotine-what-it-means-and-how-pouches-compare.png,49,2026-07-08 09:00:00,seed-scheduled,Smokeless Nicotine: What It Means and How Pouches Compare,Smokeless Nicotine | How Nicotine Pouches Compare,Buying Guide
61,https://kangoopouches.co.uk/blog/nicotine-pouch-brands-uk-zyn-velo-pablo-and-killa-compared/,nicotine-pouch-brands-uk-zyn-velo-pablo-and-killa-compared,"Nicotine Pouch Brands UK | ZYN, VELO, PABLO, KILLA",seed-seo-title,61-nicotine-pouch-brands-uk-zyn-velo-pablo-and-killa-compared.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\61-nicotine-pouch-brands-uk-zyn-velo-pablo-and-killa-compared.png,50,2026-07-09 09:00:00,seed-scheduled,"Nicotine Pouch Brands UK: ZYN, VELO, PABLO and KILLA Compared","Nicotine Pouch Brands UK | ZYN, VELO, PABLO, KILLA",Brand Guide
62,https://kangoopouches.co.uk/blog/best-zyn-flavours-uk-mint-citrus-and-berry-picks/,best-zyn-flavours-uk-mint-citrus-and-berry-picks,"Best ZYN Flavours UK | Mint, Citrus and Berry Guide",seed-seo-title,62-best-zyn-flavours-uk-mint-citrus-and-berry-picks.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\62-best-zyn-flavours-uk-mint-citrus-and-berry-picks.png,51,2026-07-10 09:00:00,seed-scheduled,"Best ZYN Flavours UK: Mint, Citrus and Berry Picks","Best ZYN Flavours UK | Mint, Citrus and Berry Guide",Brand Guide
63,https://kangoopouches.co.uk/blog/best-velo-flavours-uk-spearmint-peppermint-and-berry/,best-velo-flavours-uk-spearmint-peppermint-and-berry,Best VELO Flavours UK | Mint and Berry Guide,seed-seo-title,63-best-velo-flavours-uk-spearmint-peppermint-and-berry.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\63-best-velo-flavours-uk-spearmint-peppermint-and-berry.png,52,2026-07-11 09:00:00,seed-scheduled,"Best VELO Flavours UK: Spearmint, Peppermint and Berry",Best VELO Flavours UK | Mint and Berry Guide,Brand Guide
64,https://kangoopouches.co.uk/blog/pouch-finder-guide-how-to-choose-strength-and-flavour-at-kangoo/,pouch-finder-guide-how-to-choose-strength-and-flavour-at-kangoo,Pouch Finder Guide | Choose Strength and Flavour,seed-seo-title,64-pouch-finder-guide-how-to-choose-strength-and-flavour-at-kangoo.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\64-pouch-finder-guide-how-to-choose-strength-and-flavour-at-kangoo.png,53,2026-07-12 09:00:00,seed-scheduled,Pouch Finder Guide: How to Choose Strength and Flavour at Kangoo,Pouch Finder Guide | Choose Strength and Flavour,Strength Guide
65,https://kangoopouches.co.uk/blog/discreet-nicotine-pouches-online-buying-and-delivery-guide/,discreet-nicotine-pouches-online-buying-and-delivery-guide,Discreet Nicotine Pouches | Online Delivery Guide,seed-seo-title,65-discreet-nicotine-pouches-online-buying-and-delivery-guide.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\65-discreet-nicotine-pouches-online-buying-and-delivery-guide.png,54,2026-07-13 09:00:00,seed-scheduled,Discreet Nicotine Pouches: Online Buying and Delivery Guide,Discreet Nicotine Pouches | Online Delivery Guide,Buying Guide
66,https://kangoopouches.co.uk/blog/nicotine-pouches-for-beginners-first-order-checklist/,nicotine-pouches-for-beginners-first-order-checklist,Nicotine Pouches for Beginners | First Order Checklist,seed-seo-title,66-nicotine-pouches-for-beginners-first-order-checklist.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\66-nicotine-pouches-for-beginners-first-order-checklist.png,55,2026-07-14 09:00:00,seed-scheduled,Nicotine Pouches for Beginners: First Order Checklist,Nicotine Pouches for Beginners | First Order Checklist,Buying Guide
67,https://kangoopouches.co.uk/blog/are-nicotine-pouches-tobacco-free-uk-product-guide/,are-nicotine-pouches-tobacco-free-uk-product-guide,Are Nicotine Pouches Tobacco-Free? UK Guide,seed-seo-title,67-are-nicotine-pouches-tobacco-free-uk-product-guide.png,C:\Users\sheri\Documents\GitHub\kangoo-theme\generated-blog-banners\67-are-nicotine-pouches-tobacco-free-uk-product-guide.png,56,2026-07-15 09:00:00,seed-scheduled,Are Nicotine Pouches Tobacco-Free? UK Product Guide,Are Nicotine Pouches Tobacco-Free? UK Guide,Education
